excname	exc_id	iab_id
rtb	1002	643
rtb	534	175
rtb	554	252
rtb	296	177
rtb	1149	462
rtb	462	391
rtb	258	168
rtb	462	390
rtb	461	393
rtb	462	393
rtb	261	255
rtb	698	495
rtb	568	569
rtb	461	394
rtb	1126	260
rtb	516	352
rtb	1405	251
rtb	1595	723
rtb	513	411
rtb	786	179
rtb	1596	727
rtb	264	165
rtb	260	163
rtb	517	174
rtb	541	258
rtb	459	667
rtb	462	392
rtb	1305	660
rtb	1126	261
rtb	1148	718
rtb	1148	719
rtb	1593	649
rtb	1594	640
rtb	940	266
rtb	1376	256
rtb	699	191
rtb	541	257
rtb	118	645
rtb	294	167
rtb	44	41
rtb	44	94
rtb	239	220
rtb	185	169
rtb	350	340
rtb	68	183
rtb	124	184
rtb	5	3
rtb	13	3
rtb	486	487
rtb	486	488
rtb	315	309
rtb	731	599
rtb	306	242
rtb	390	302
rtb	1229	750
rtb	311	110
rtb	312	113
rtb	353	298
rtb	1464	661
rtb	343	297
rtb	1088	627
rtb	577	629
rtb	394	201
rtb	486	489
rtb	492	631
rtb	807	740
rtb	732	508
rtb	733	509
rtb	736	484
rtb	735	486
rtb	567	388
rtb	227	230
rtb	1024	230
rtb	392	253
rtb	1229	751
rtb	344	254
rtb	228	265
rtb	567	389
rtb	362	271
rtb	901	791
rtb	736	485
rtb	31	510
rtb	1223	772
rtb	422	333
rtb	485	332
rtb	737	490
rtb	67	68
rtb	707	502
rtb	5001	801
rtb	203	231
rtb	5335	805
rtb	179	119
rtb	5257	810
rtb	542	120
rtb	5238	811
rtb	5204	815
rtb	206	234
rtb	5105	821
rtb	5104	820
rtb	5182	823
rtb	5153	825
rtb	179	118
rtb	5155	827
rtb	5048	835
rtb	5208	840
rtb	1007	630
rtb	1009	630
rtb	5216	845
rtb	145	140
rtb	1008	602
rtb	5140	829
rtb	29	26
rtb	378	370
rtb	1080	657
rtb	18	19
rtb	1276	742
rtb	365	273
rtb	352	275
rtb	531	406
rtb	59	55
rtb	975	307
rtb	862	311
rtb	864	303
rtb	864	304
rtb	866	312
rtb	868	313
rtb	869	306
rtb	864	305
rtb	1258	308
rtb	299	245
rtb	504	245
rtb	529	245
rtb	321	245
rubicon	2	2
rubicon	9	2
rubicon	29	180
rubicon	22	35
rubicon	14	37
rubicon	22	39
rubicon	41	39
rubicon	3	45
rubicon	5	11
rubicon	30	11
rubicon	27	325
rubicon	8	95
rubicon	8	99
rubicon	10	15
rubicon	34	518
rubicon	34	712
rubicon	24	59
rubicon	23	372
rubicon	34	372
rubicon	13	43
rubicon	33	209
rubicon	23	407
rubicon	11	70
rubicon	2	62
rubicon	36	342
rubicon	28	104
rubicon	42	531
rubicon	12	40
rubicon	31	40
rubicon	10	10
rubicon	27	80
rubicon	35	263
rubicon	15	13
rubicon	32	365
rubicon	5	5
rubicon	39	5
rubicon	7	580
rubicon	24	565
rubicon	1	65
rubicon	19	23
rubicon	36	643
rubicon	36	252
rubicon	36	391
rubicon	36	390
rubicon	36	393
rubicon	36	394
rubicon	6	3
rubicon	20	3
rubicon	40	3
rubicon	21	68
rubicon	36	120
rubicon	16	26
rubicon	17	19
rubicon	4	245
rubicon	18	245
rubicon	37	245
yahoo	4	2
yahoo	65	2
yahoo	41	86
yahoo	73	35
yahoo	18	37
yahoo	26	37
yahoo	27	37
yahoo	84	39
yahoo	1	45
yahoo	2	11
yahoo	16	24
yahoo	70	325
yahoo	16	25
yahoo	3	95
yahoo	20	99
yahoo	68	15
yahoo	31	58
yahoo	32	59
yahoo	11	372
yahoo	71	43
yahoo	43	92
yahoo	33	209
yahoo	31	212
yahoo	43	102
yahoo	11	407
yahoo	42	70
yahoo	42	105
yahoo	38	62
yahoo	14	63
yahoo	14	69
yahoo	14	98
yahoo	14	233
yahoo	14	40
yahoo	76	40
yahoo	40	10
yahoo	70	80
yahoo	79	17
yahoo	5	13
yahoo	2	5
yahoo	77	5
yahoo	21	580
